gene_name	p_value	avg_logFC	pct.1	pct.2	p value adjusted	cluster	gene
SYPL1.1	1.26E-23	0.633604346	0.299	0.119	1.72E-19	2	SYPL1
PRKCQ-AS1.2	1.28E-23	-0.685940599	0.011	0.19	1.75E-19	2	PRKCQ-AS1
SNX3.1	1.43E-23	0.546548302	0.575	0.443	1.96E-19	2	SNX3
ACTG1	2.12E-23	-0.475816274	0.698	0.884	2.91E-19	2	ACTG1
GLRX.2	2.31E-23	-0.732868302	0.142	0.405	3.17E-19	2	GLRX
TSPO.2	3.38E-23	-0.741565585	0.259	0.506	4.63E-19	2	TSPO
CD14.2	5.35E-23	-0.923697967	0.003	0.165	7.34E-19	2	CD14
CEBPD.2	1.11E-22	-0.847732734	0.051	0.249	1.53E-18	2	CEBPD
PTPRCAP.1	1.62E-22	0.499352814	0.838	0.61	2.22E-18	2	PTPRCAP
GSTP1.2	3.24E-22	-0.800693703	0.296	0.482	4.45E-18	2	GSTP1
CXXC5.1	9.96E-22	0.591729914	0.217	0.05	1.37E-17	2	CXXC5
ALDOA.2	1.04E-21	-0.518557135	0.493	0.73	1.43E-17	2	ALDOA
CTSD.2	1.27E-21	-0.753805309	0.057	0.268	1.74E-17	2	CTSD
CST7.2	1.33E-21	-1.289273247	0.037	0.222	1.83E-17	2	CST7
CDCA7L	1.39E-21	0.562068525	0.128	0.019	1.90E-17	2	CDCA7L
RGCC.1	1.89E-21	-0.707170085	0.048	0.256	2.60E-17	2	RGCC
CEBPB.2	2.43E-21	-0.846728474	0.125	0.352	3.33E-17	2	CEBPB
CSTB.2	2.93E-21	-0.717605334	0.148	0.398	4.01E-17	2	CSTB
BRI3.2	3.07E-21	-0.758848009	0.037	0.228	4.21E-17	2	BRI3
CALM1.1	4.42E-21	-0.51152832	0.453	0.707	6.06E-17	2	CALM1
SERPINA1.2	4.52E-21	-0.936262866	0.071	0.27	6.20E-17	2	SERPINA1
BTK.1	4.80E-21	0.70349176	0.191	0.064	6.58E-17	2	BTK
IFITM2.1	5.59E-21	-0.549485468	0.575	0.722	7.67E-17	2	IFITM2
LIMD2.1	6.29E-21	0.39305864	0.758	0.639	8.63E-17	2	LIMD2
IL4R	9.64E-21	0.587353328	0.162	0.044	1.32E-16	2	IL4R
HAGH.1	1.28E-20	0.577758404	0.068	0.119	1.75E-16	2	HAGH
CDA.2	1.51E-20	-0.737434806	0.009	0.166	2.07E-16	2	CDA
TCF4	1.59E-20	0.462085621	0.125	0.014	2.18E-16	2	TCF4
SERF2.2	1.72E-20	-0.413135485	0.729	0.874	2.36E-16	2	SERF2
CD3G.2	1.97E-20	-0.709232969	0.046	0.244	2.70E-16	2	CD3G
CD52	2.62E-20	0.373022174	0.949	0.884	3.60E-16	2	CD52
FCGR3A.2	6.35E-20	-1.182436154	0.037	0.206	8.71E-16	2	FCGR3A
CFP.2	6.75E-20	-0.830759027	0.043	0.232	9.25E-16	2	CFP
GMFG	6.88E-20	-0.461800368	0.481	0.728	9.44E-16	2	GMFG
GUCD1	7.29E-20	0.556263636	0.145	0.034	1.00E-15	2	GUCD1
ZCCHC7	7.52E-20	0.490538149	0.16	0.052	1.03E-15	2	ZCCHC7
RASGRP2.1	7.64E-20	0.650637654	0.305	0.232	1.05E-15	2	RASGRP2
POLD4.1	8.46E-20	0.553113612	0.479	0.324	1.16E-15	2	POLD4
CD68.2	8.65E-20	-0.873600412	0.051	0.244	1.19E-15	2	CD68
NDFIP1.2	1.07E-19	-0.632672428	0.117	0.353	1.47E-15	2	NDFIP1
MYO1F.1	1.32E-19	-0.678486626	0.063	0.263	1.81E-15	2	MYO1F
CD63.2	1.49E-19	-0.748302383	0.145	0.373	2.05E-15	2	CD63
EMP3.2	3.44E-19	-0.461947133	0.533	0.761	4.72E-15	2	EMP3
EIF4A1.2	3.75E-19	-0.492053451	0.479	0.708	5.15E-15	2	EIF4A1
ITM2B	4.35E-19	-0.26950081	0.593	0.815	5.96E-15	2	ITM2B
EEF2	4.79E-19	0.38605174	0.86	0.825	6.57E-15	2	EEF2
ITM2C	5.44E-19	0.614652793	0.182	0.044	7.46E-15	2	ITM2C
LEPROTL1.2	5.70E-19	-0.613120658	0.074	0.285	7.81E-15	2	LEPROTL1
GLIPR2.2	6.94E-19	-0.645764408	0.054	0.247	9.52E-15	2	GLIPR2
CTSC.1	8.42E-19	-0.688510123	0.083	0.294	1.15E-14	2	CTSC
MS4A6A.2	1.15E-18	-0.955379711	0.023	0.178	1.58E-14	2	MS4A6A
CALM3	1.77E-18	-0.53899538	0.168	0.388	2.43E-14	2	CALM3
ARRB2.2	1.79E-18	-0.658955651	0.074	0.282	2.46E-14	2	ARRB2
TSPAN3	1.90E-18	0.489410075	0.171	0.042	2.61E-14	2	TSPAN3
MYL12A.1	2.01E-18	-0.364034075	0.758	0.886	2.75E-14	2	MYL12A
RAC1.2	2.38E-18	-0.681942532	0.251	0.462	3.26E-14	2	RAC1
GPR18	4.63E-18	0.510878418	0.142	0.029	6.35E-14	2	GPR18
CORO1B.1	4.73E-18	-0.626115875	0.026	0.184	6.49E-14	2	CORO1B
FYN	5.66E-18	-0.568634326	0.023	0.186	7.76E-14	2	FYN
TRAT1.2	5.67E-18	-0.587218401	0.026	0.192	7.77E-14	2	TRAT1
SEL1L3	6.21E-18	0.521094016	0.128	0.02	8.52E-14	2	SEL1L3
SEPW1	8.99E-18	-0.564976336	0.077	0.279	1.23E-13	2	SEPW1
RBM25	9.52E-18	0.462057284	0.148	0.169	1.31E-13	2	RBM25
GNLY.2	1.07E-17	-1.908703292	0.08	0.193	1.47E-13	2	GNLY
RHOG.2	1.63E-17	-0.574146289	0.188	0.419	2.23E-13	2	RHOG
LEF1.2	1.84E-17	-0.597380037	0.026	0.183	2.53E-13	2	LEF1
NDUFS5	1.88E-17	-0.463220764	0.188	0.427	2.57E-13	2	NDUFS5
GNB2L1	2.00E-17	0.304879459	0.991	0.974	2.74E-13	2	GNB2L1
CCDC50	2.13E-17	0.468997822	0.162	0.039	2.93E-13	2	CCDC50
UPP1	2.39E-17	-0.533763393	0.017	0.166	3.27E-13	2	UPP1
SEC62.1	3.22E-17	0.521153652	0.336	0.201	4.41E-13	2	SEC62
AP2S1.2	4.01E-17	-0.641146048	0.168	0.378	5.50E-13	2	AP2S1
OAZ1.2	4.08E-17	-0.289685422	0.926	0.904	5.59E-13	2	OAZ1
VAMP8.1	4.37E-17	-0.555552135	0.313	0.532	5.99E-13	2	VAMP8
CCT6A	4.50E-17	0.296261554	0.148	0.165	6.17E-13	2	CCT6A
GIMAP2	4.53E-17	-0.604155695	0.043	0.216	6.21E-13	2	GIMAP2
PLD4	5.04E-17	0.484007668	0.148	0.031	6.92E-13	2	PLD4
TNFSF13B.2	5.51E-17	-0.666557255	0.028	0.18	7.55E-13	2	TNFSF13B
PRKCB.1	7.07E-17	0.607691189	0.268	0.12	9.70E-13	2	PRKCB
BLOC1S2	7.48E-17	0.491336255	0.256	0.145	1.03E-12	2	BLOC1S2
PRF1.2	8.31E-17	-1.148440451	0.031	0.177	1.14E-12	2	PRF1
GPX1.2	9.53E-17	-0.713901545	0.325	0.434	1.31E-12	2	GPX1
AQP3.2	1.28E-16	-0.624932563	0.028	0.186	1.75E-12	2	AQP3
BIRC3.2	1.47E-16	0.568849922	0.254	0.111	2.02E-12	2	BIRC3
IL10RA	2.35E-16	-0.520556877	0.066	0.232	3.22E-12	2	IL10RA
IFT57	2.69E-16	0.555128641	0.191	0.065	3.69E-12	2	IFT57
FAM26F.2	2.96E-16	0.583020397	0.362	0.206	4.06E-12	2	FAM26F
C12orf10	3.62E-16	0.314055466	0.074	0.118	4.96E-12	2	C12orf10
FNTA	3.94E-16	0.33611092	0.131	0.162	5.41E-12	2	FNTA
OPN3	7.23E-16	0.456332422	0.12	0.029	9.92E-12	2	OPN3
PNISR.1	7.69E-16	0.479030672	0.476	0.356	1.05E-11	2	PNISR
CCL3.2	8.26E-16	-1.029666312	0.02	0.156	1.13E-11	2	CCL3
ARL4C.1	1.07E-15	-0.54147238	0.051	0.222	1.46E-11	2	ARL4C
CD300A.1	1.07E-15	-0.473763837	0.011	0.142	1.47E-11	2	CD300A
CD97.2	1.26E-15	-0.492951143	0.068	0.247	1.73E-11	2	CD97
RCSD1	1.36E-15	0.486877156	0.325	0.198	1.87E-11	2	RCSD1
CASP1.2	1.47E-15	-0.541198268	0.103	0.296	2.02E-11	2	CASP1
PAPOLA	1.48E-15	0.437191533	0.291	0.207	2.03E-11	2	PAPOLA
CD8B.2	1.55E-15	-0.773903143	0.011	0.142	2.13E-11	2	CD8B
RPS21.2	2.05E-15	0.299357581	0.903	0.854	2.82E-11	2	RPS21
MYL12B.1	2.12E-15	-0.382268184	0.524	0.722	2.91E-11	2	MYL12B
APOBEC3A.2	2.97E-15	-0.725039823	0.014	0.14	4.07E-11	2	APOBEC3A
BCAS4	3.25E-15	0.467334901	0.142	0.039	4.46E-11	2	BCAS4
YBX3.2	4.32E-15	0.50712245	0.191	0.09	5.92E-11	2	YBX3
ISG15.2	4.48E-15	-0.614634906	0.262	0.473	6.14E-11	2	ISG15
NINJ1.2	5.01E-15	-0.525988374	0.028	0.173	6.87E-11	2	NINJ1
TMEM243.1	5.33E-15	0.445556227	0.305	0.186	7.31E-11	2	TMEM243
TCEB2.2	7.36E-15	-0.436847942	0.291	0.516	1.01E-10	2	TCEB2
ZAP70.1	7.38E-15	-0.56227058	0.023	0.159	1.01E-10	2	ZAP70
LYAR.2	1.01E-14	-0.742388856	0.046	0.204	1.39E-10	2	LYAR
PLAC8.1	1.57E-14	0.465723086	0.567	0.434	2.15E-10	2	PLAC8
GSTO1.2	2.39E-14	-0.602733096	0.123	0.313	3.27E-10	2	GSTO1
DCK.1	2.44E-14	0.419135569	0.262	0.177	3.34E-10	2	DCK
CMTM3	3.01E-14	-0.509391576	0.031	0.174	4.13E-10	2	CMTM3
STX11.2	3.03E-14	-0.562910428	0.02	0.149	4.16E-10	2	STX11
RNASE6.2	3.05E-14	0.54620421	0.219	0.084	4.18E-10	2	RNASE6
AP1S2.2	3.24E-14	-0.648315298	0.171	0.314	4.45E-10	2	AP1S2
DNAJB1.2	3.27E-14	-0.587761129	0.125	0.316	4.48E-10	2	DNAJB1
ARPC1B.2	3.35E-14	-0.345501456	0.581	0.766	4.59E-10	2	ARPC1B
PKM.1	3.46E-14	-0.483669204	0.236	0.448	4.75E-10	2	PKM
PRELID1.2	3.64E-14	-0.511371028	0.313	0.487	5.00E-10	2	PRELID1
THOC7.1	3.85E-14	0.347817099	0.114	0.166	5.27E-10	2	THOC7
GZMB.2	4.24E-14	-1.529358501	0.02	0.135	5.81E-10	2	GZMB
UCP2.1	4.78E-14	0.37341123	0.587	0.549	6.56E-10	2	UCP2
TALDO1.2	6.21E-14	-0.591045143	0.185	0.391	8.52E-10	2	TALDO1
ARL4A	6.57E-14	0.5749549	0.219	0.142	9.01E-10	2	ARL4A
PLEKHJ1	6.58E-14	0.354064199	0.142	0.167	9.02E-10	2	PLEKHJ1
TNFRSF1A.2	6.62E-14	-0.414264161	0.003	0.105	9.09E-10	2	TNFRSF1A
TMEM173	6.70E-14	-0.441082718	0.017	0.145	9.19E-10	2	TMEM173
EEF1B2.2	7.04E-14	0.326383961	0.909	0.879	9.65E-10	2	EEF1B2
LILRA5.2	7.18E-14	-0.504773857	0.014	0.134	9.85E-10	2	LILRA5
BLVRA.2	7.44E-14	-0.595213533	0.048	0.203	1.02E-09	2	BLVRA
RTFDC1	7.92E-14	0.316140159	0.194	0.211	1.09E-09	2	RTFDC1
EIF5B	7.99E-14	0.328664083	0.14	0.145	1.10E-09	2	EIF5B
SEP15.1	9.30E-14	0.317804536	0.33	0.287	1.27E-09	2	Sep-15
SMAP2.1	1.07E-13	0.492082599	0.185	0.156	1.46E-09	2	SMAP2
FPR1.2	1.08E-13	-0.55099261	0.014	0.121	1.48E-09	2	FPR1
CKLF.1	1.13E-13	-0.519210943	0.068	0.235	1.56E-09	2	CKLF
TMEM154	1.18E-13	0.471756362	0.16	0.058	1.61E-09	2	TMEM154
SIGIRR	1.58E-13	-0.519245235	0.077	0.247	2.16E-09	2	SIGIRR
PTGER2	1.59E-13	-0.496376748	0.023	0.154	2.18E-09	2	PTGER2
DYNLT1.1	1.85E-13	-0.503348549	0.06	0.21	2.54E-09	2	DYNLT1
BID.2	2.03E-13	-0.507630636	0.063	0.225	2.79E-09	2	BID
HSPA8.2	2.33E-13	-0.381006484	0.49	0.695	3.19E-09	2	HSPA8
TPI1.2	2.59E-13	-0.464797499	0.33	0.529	3.55E-09	2	TPI1
ANXA5.2	2.71E-13	-0.48468066	0.142	0.328	3.72E-09	2	ANXA5
FLT3LG.2	2.71E-13	-0.528578088	0.043	0.191	3.72E-09	2	FLT3LG
GRN.2	2.78E-13	-0.659712755	0.117	0.258	3.81E-09	2	GRN
SOCS3.1	2.78E-13	-0.500828204	0.051	0.192	3.82E-09	2	SOCS3
NGFRAP1.2	2.86E-13	-0.457113463	0.003	0.102	3.92E-09	2	NGFRAP1
C5AR1.2	2.99E-13	-0.469110917	0.006	0.112	4.09E-09	2	C5AR1
ATP5E.1	4.71E-13	-0.341112023	0.593	0.772	6.46E-09	2	ATP5E
EIF1AY.1	5.27E-13	0.372503991	0.197	0.133	7.23E-09	2	EIF1AY
NPC2.2	5.57E-13	-0.58413674	0.319	0.429	7.63E-09	2	NPC2
RP1-313I6.12	5.57E-13	0.448238364	0.111	0.058	7.64E-09	2	RP1-313I6.12
CD4.1	5.73E-13	-0.423741706	0.014	0.132	7.86E-09	2	CD4
HLA-C.1	5.85E-13	-0.298605211	0.969	0.981	8.02E-09	2	HLA-C
NR3C1	6.28E-13	0.470932414	0.111	0.105	8.61E-09	2	NR3C1
PARP1.1	6.29E-13	0.402652367	0.222	0.099	8.63E-09	2	PARP1
LYL1.2	6.36E-13	0.498184105	0.211	0.102	8.73E-09	2	LYL1
BBX	7.95E-13	0.468378447	0.194	0.135	1.09E-08	2	BBX
DBI.1	8.39E-13	0.280950356	0.356	0.352	1.15E-08	2	DBI
DUSP2.1	8.70E-13	-0.497132763	0.105	0.281	1.19E-08	2	DUSP2
RRAS2	9.22E-13	0.403549087	0.111	0.027	1.26E-08	2	RRAS2
RBBP7.1	1.06E-12	0.434408738	0.194	0.13	1.45E-08	2	RBBP7
SNX10.2	1.17E-12	0.599356907	0.14	0.088	1.60E-08	2	SNX10
CTSB.2	1.26E-12	-0.558260513	0.066	0.219	1.72E-08	2	CTSB
CD44	1.43E-12	-0.4248729	0.282	0.486	1.96E-08	2	CD44
EZR	1.56E-12	0.429930866	0.271	0.183	2.13E-08	2	EZR
IGSF6.2	1.67E-12	-0.470031505	0.011	0.122	2.28E-08	2	IGSF6
CAMK1D	1.69E-12	0.595733463	0.123	0.041	2.32E-08	2	CAMK1D
CSF3R.2	1.97E-12	-0.532613876	0.017	0.13	2.70E-08	2	CSF3R
LDHA	2.05E-12	-0.374815684	0.316	0.516	2.81E-08	2	LDHA
FLNA.2	2.33E-12	-0.50373604	0.077	0.23	3.19E-08	2	FLNA
PSMA7.2	2.39E-12	-0.362020212	0.419	0.58	3.28E-08	2	PSMA7
GZMH.2	2.49E-12	-1.019633539	0.014	0.112	3.42E-08	2	GZMH
CARD16.2	2.60E-12	-0.521958684	0.131	0.309	3.56E-08	2	CARD16
RCN2.1	2.64E-12	0.28077428	0.128	0.131	3.62E-08	2	RCN2
SUMO3	2.92E-12	0.319190384	0.145	0.219	4.01E-08	2	SUMO3
AAK1.2	2.92E-12	-0.447818512	0.031	0.162	4.01E-08	2	AAK1
MAL.2	3.14E-12	-0.550023008	0.026	0.148	4.30E-08	2	MAL
STXBP2.2	3.48E-12	-0.556644797	0.117	0.261	4.77E-08	2	STXBP2
PYCARD.2	3.63E-12	-0.388516627	0.202	0.393	4.97E-08	2	PYCARD
SH2D1A.1	3.64E-12	-0.522391829	0.009	0.111	5.00E-08	2	SH2D1A
MAFB.2	3.80E-12	-0.455517955	0.009	0.11	5.21E-08	2	MAFB
AAMP	4.14E-12	0.325171918	0.131	0.113	5.68E-08	2	AAMP
ENO1	4.21E-12	-0.428107347	0.393	0.585	5.78E-08	2	ENO1
PIM1.1	4.71E-12	-0.474431372	0.057	0.204	6.46E-08	2	PIM1
WDR1	5.05E-12	-0.466421663	0.111	0.281	6.92E-08	2	WDR1
CRIP1.1	5.46E-12	-0.429079788	0.197	0.392	7.48E-08	2	CRIP1
GBP2	5.51E-12	-0.490202729	0.066	0.214	7.56E-08	2	GBP2
IFI30.2	5.61E-12	-0.619142204	0.046	0.181	7.69E-08	2	IFI30
NONO	6.07E-12	0.292582997	0.145	0.168	8.32E-08	2	NONO
UBXN4	7.03E-12	0.463199141	0.188	0.196	9.64E-08	2	UBXN4
ATP5H	7.11E-12	-0.477570047	0.194	0.378	9.75E-08	2	ATP5H
HNRNPDL.1	7.97E-12	0.315803399	0.595	0.599	1.09E-07	2	HNRNPDL
CPVL.2	7.98E-12	-0.487695816	0.017	0.129	1.09E-07	2	CPVL
ZFP36L1	8.68E-12	0.361945521	0.328	0.227	1.19E-07	2	ZFP36L1
TMEM66.2	9.14E-12	-0.311057175	0.575	0.754	1.25E-07	2	TMEM66
FAM65B.1	1.02E-11	0.353740804	0.365	0.292	1.40E-07	2	FAM65B
CCNG1.1	1.10E-11	0.351743204	0.145	0.166	1.50E-07	2	CCNG1
SERPINB1.2	1.12E-11	-0.540854765	0.199	0.385	1.53E-07	2	SERPINB1
RNF7.1	1.12E-11	-0.385187277	0.108	0.269	1.54E-07	2	RNF7
REL.1	1.16E-11	0.47033134	0.208	0.093	1.59E-07	2	REL
ZYX.1	1.29E-11	-0.456146872	0.04	0.165	1.76E-07	2	ZYX
PHACTR1	1.32E-11	0.366828245	0.114	0.036	1.81E-07	2	PHACTR1
NUCB2.2	1.43E-11	-0.354219968	0.023	0.129	1.96E-07	2	NUCB2
EIF1B	1.69E-11	0.460501412	0.245	0.181	2.32E-07	2	EIF1B
NCF2.2	1.77E-11	-0.58779243	0.057	0.191	2.42E-07	2	NCF2
PSME2.2	1.84E-11	-0.367725872	0.382	0.576	2.52E-07	2	PSME2
APRT	1.93E-11	-0.368899883	0.413	0.599	2.64E-07	2	APRT
SPN	2.04E-11	-0.441721955	0.034	0.16	2.80E-07	2	SPN
TCF7.2	2.06E-11	-0.452299054	0.091	0.252	2.82E-07	2	TCF7
METTL21A	2.28E-11	0.450782628	0.105	0.066	3.13E-07	2	METTL21A
SELPLG	2.40E-11	-0.430746327	0.057	0.196	3.29E-07	2	SELPLG
NUP214.2	2.41E-11	-0.490302572	0.034	0.16	3.31E-07	2	NUP214
HMGB1.1	2.45E-11	0.358363751	0.641	0.629	3.36E-07	2	HMGB1
ABI3.1	2.46E-11	-0.544134838	0.057	0.195	3.38E-07	2	ABI3
DDT	2.67E-11	0.39797453	0.168	0.196	3.66E-07	2	DDT
BIN2.1	2.77E-11	-0.37492966	0.202	0.392	3.79E-07	2	BIN2
SELL.1	3.17E-11	0.587138769	0.57	0.452	4.35E-07	2	SELL
FOS	3.82E-11	-0.260541698	0.835	0.928	5.24E-07	2	FOS
PILRA.2	3.86E-11	-0.421607762	0.02	0.13	5.30E-07	2	PILRA
DRAM2	4.17E-11	0.356966107	0.251	0.148	5.72E-07	2	DRAM2
RP11-290F20.3.2	4.39E-11	-0.498112957	0.02	0.128	6.02E-07	2	RP11-290F20.3
FGFBP2.2	5.10E-11	-1.047453414	0.034	0.12	6.99E-07	2	FGFBP2
MCL1.1	5.67E-11	-0.42882737	0.248	0.43	7.77E-07	2	MCL1
HLA-A.1	7.11E-11	-0.266803647	0.934	0.967	9.75E-07	2	HLA-A
EIF3K.1	7.67E-11	-0.266258732	0.578	0.759	1.05E-06	2	EIF3K
SMCHD1	8.15E-11	0.436707298	0.142	0.116	1.12E-06	2	SMCHD1
GPX4.1	8.45E-11	-0.301302526	0.365	0.565	1.16E-06	2	GPX4
H2AFY.2	9.36E-11	-0.543396167	0.151	0.316	1.28E-06	2	H2AFY
SLC7A7.2	9.78E-11	-0.47255146	0.034	0.151	1.34E-06	2	SLC7A7
IER2	1.01E-10	-0.272544471	0.467	0.656	1.39E-06	2	IER2
SPCS2.1	1.02E-10	0.265510118	0.328	0.297	1.41E-06	2	SPCS2
TKT.2	1.14E-10	-0.5007925	0.202	0.371	1.57E-06	2	TKT
UQCR11.1.1	1.17E-10	-0.33632514	0.393	0.59	1.61E-06	2	UQCR11.1
AGTRAP.2	1.21E-10	-0.440660099	0.043	0.168	1.66E-06	2	AGTRAP
C1orf162.2	1.29E-10	-0.4989853	0.248	0.403	1.76E-06	2	C1orf162
KIAA0040	1.30E-10	0.415608224	0.145	0.049	1.78E-06	2	KIAA0040
KLRG1.2	1.33E-10	-0.570964907	0.023	0.13	1.83E-06	2	KLRG1
COX6C.2	1.39E-10	-0.364642438	0.288	0.472	1.90E-06	2	COX6C
CD40LG.2	1.49E-10	-0.374680402	0.017	0.116	2.04E-06	2	CD40LG
RNF130.2	1.51E-10	-0.457133972	0.063	0.195	2.08E-06	2	RNF130
CD8A.1	1.56E-10	-0.558964623	0.026	0.132	2.14E-06	2	CD8A
LRRC25.2	1.56E-10	-0.379113992	0.014	0.114	2.15E-06	2	LRRC25
SMARCB1	1.66E-10	0.408608366	0.222	0.112	2.27E-06	2	SMARCB1
GZMK.2	1.71E-10	-0.926476097	0.031	0.13	2.35E-06	2	GZMK
ITM2A.2	1.90E-10	-0.473574435	0.028	0.14	2.60E-06	2	ITM2A
CD82	2.00E-10	0.334677535	0.157	0.056	2.75E-06	2	CD82
RGL4.2	2.10E-10	-0.366094356	0.02	0.124	2.88E-06	2	RGL4
CD69.2	2.15E-10	0.446062853	0.459	0.344	2.94E-06	2	CD69
ANAPC16	2.16E-10	0.369246499	0.527	0.472	2.96E-06	2	ANAPC16
FCGRT.2	2.31E-10	-0.536774399	0.103	0.25	3.17E-06	2	FCGRT
PRMT2	2.56E-10	-0.482728254	0.088	0.236	3.51E-06	2	PRMT2
ATP6V1G1	2.68E-10	0.254981684	0.652	0.598	3.68E-06	2	ATP6V1G1
KIAA1033	2.96E-10	0.354740319	0.128	0.049	4.06E-06	2	KIAA1033
SORL1	3.67E-10	-0.357877819	0.028	0.135	5.03E-06	2	SORL1
ETHE1	3.98E-10	-0.426846353	0.037	0.155	5.45E-06	2	ETHE1
CHPT1	4.24E-10	0.351622838	0.177	0.109	5.82E-06	2	CHPT1
P2RY10	4.45E-10	0.352436547	0.111	0.035	6.11E-06	2	P2RY10
UBL5.1	4.53E-10	-0.393759025	0.282	0.467	6.21E-06	2	UBL5
RP11-51J9.5.1	4.66E-10	-0.349169406	0.026	0.128	6.39E-06	2	RP11-51J9.5
ZNF92	5.28E-10	0.35389033	0.123	0.033	7.24E-06	2	ZNF92
FGL2.2	5.28E-10	-0.488338987	0.028	0.14	7.25E-06	2	FGL2
MRPL43	5.55E-10	0.35671501	0.151	0.177	7.62E-06	2	MRPL43
SF3B5.1	6.15E-10	-0.395996792	0.271	0.407	8.44E-06	2	SF3B5
PRDX2.2	6.38E-10	-0.381200112	0.145	0.308	8.75E-06	2	PRDX2
CPPED1.2	6.43E-10	-0.3678391	0.017	0.115	8.82E-06	2	CPPED1
MBD4	6.82E-10	0.432020843	0.185	0.076	9.35E-06	2	MBD4
TXN	7.42E-10	-0.404618283	0.077	0.217	1.02E-05	2	TXN
PPT1.1	7.47E-10	-0.328925847	0.088	0.205	1.02E-05	2	PPT1
NELFCD	7.53E-10	0.301115695	0.108	0.078	1.03E-05	2	NELFCD
SAMD3.2	8.14E-10	-0.491983513	0.026	0.13	1.12E-05	2	SAMD3
FAM3C	8.32E-10	0.374866991	0.123	0.039	1.14E-05	2	FAM3C
MAPKAPK3.1	9.15E-10	-0.303101387	0.028	0.131	1.25E-05	2	MAPKAPK3
CISD3.1	9.24E-10	-0.400918389	0.037	0.142	1.27E-05	2	CISD3
FKBP1A.2	9.93E-10	-0.369825333	0.336	0.48	1.36E-05	2	FKBP1A
LSM10.1	1.05E-09	0.351372811	0.268	0.201	1.45E-05	2	LSM10
LDLRAP1.2	1.09E-09	-0.507975073	0.037	0.138	1.49E-05	2	LDLRAP1
MSRB1.2	1.09E-09	-0.340737343	0.023	0.119	1.49E-05	2	MSRB1
ERP29	1.13E-09	0.261175983	0.587	0.553	1.56E-05	2	ERP29
RAP1B.1	1.15E-09	-0.42514657	0.217	0.382	1.57E-05	2	RAP1B
NEDD8.1	1.21E-09	-0.251234714	0.339	0.52	1.66E-05	2	NEDD8
THEMIS2.2	1.28E-09	-0.379429577	0.026	0.13	1.75E-05	2	THEMIS2
C20orf24.2	1.35E-09	-0.427316801	0.162	0.327	1.85E-05	2	C20orf24
LILRB2.2	1.38E-09	-0.345735729	0.017	0.111	1.90E-05	2	LILRB2
TMEM50A	1.42E-09	-0.373910224	0.157	0.28	1.94E-05	2	TMEM50A
MED30	1.46E-09	0.688958712	0.134	0.124	2.00E-05	2	MED30
PLAUR.2	1.62E-09	-0.393217496	0.028	0.134	2.22E-05	2	PLAUR
CCL4.2	1.67E-09	-0.887247903	0.026	0.127	2.30E-05	2	CCL4
DHRS7	1.71E-09	-0.447156471	0.174	0.338	2.35E-05	2	DHRS7
AOAH.2	1.75E-09	-0.333909264	0.034	0.139	2.40E-05	2	AOAH
POLR2L.2	1.81E-09	-0.386141925	0.205	0.379	2.48E-05	2	POLR2L
TAF7.1	1.85E-09	0.376245036	0.288	0.213	2.54E-05	2	TAF7
CCND3.1	1.87E-09	-0.285983934	0.262	0.431	2.57E-05	2	CCND3
CD6.2	1.91E-09	-0.381909505	0.023	0.122	2.62E-05	2	CD6
TBXAS1.2	1.98E-09	-0.344875525	0.031	0.127	2.72E-05	2	TBXAS1
TSTD1.1	1.99E-09	0.343894651	0.279	0.216	2.72E-05	2	TSTD1
HMGN1.1	1.99E-09	0.300293014	0.618	0.509	2.74E-05	2	HMGN1
RGS2.2	2.03E-09	-0.405656432	0.14	0.297	2.79E-05	2	RGS2
NT5C.1	2.03E-09	0.374169012	0.222	0.11	2.79E-05	2	NT5C
RNF149	2.09E-09	-0.293001596	0.048	0.156	2.86E-05	2	RNF149
SAMD9L.1	2.19E-09	0.456046853	0.12	0.095	3.00E-05	2	SAMD9L
CD53.1	2.33E-09	0.367508282	0.598	0.531	3.20E-05	2	CD53
CYB5A	2.38E-09	0.342109028	0.157	0.088	3.26E-05	2	CYB5A
CAPN2	2.55E-09	-0.368429453	0.103	0.238	3.49E-05	2	CAPN2
BLVRB.2	2.62E-09	-0.487123862	0.057	0.176	3.60E-05	2	BLVRB
DSTN.1	2.76E-09	-0.366482061	0.08	0.214	3.79E-05	2	DSTN
ALOX5.2	2.84E-09	0.374910363	0.165	0.073	3.90E-05	2	ALOX5
RNASEH2B	2.97E-09	0.366329071	0.259	0.149	4.07E-05	2	RNASEH2B
MRPS18A	3.18E-09	0.321966449	0.103	0.055	4.36E-05	2	MRPS18A
TMEM219.1	3.38E-09	-0.439696662	0.148	0.292	4.64E-05	2	TMEM219
APPL1	3.41E-09	0.336957763	0.108	0.049	4.68E-05	2	APPL1
NDUFC2	3.75E-09	-0.270292532	0.137	0.272	5.14E-05	2	NDUFC2
TGFBI.2	3.81E-09	-0.365402718	0.023	0.118	5.22E-05	2	TGFBI
SP100	3.98E-09	0.365437408	0.359	0.254	5.46E-05	2	SP100
DGCR6L	4.33E-09	-0.310354963	0.066	0.183	5.93E-05	2	DGCR6L
EFHD2.2	4.74E-09	-0.464006247	0.08	0.21	6.50E-05	2	EFHD2
PTPN6.1	4.93E-09	0.376842074	0.373	0.279	6.76E-05	2	PTPN6
